"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","82959","4.61","16501","6.28","8636","62.3%","54.4%","1567","54.1%","2159","54.4%","3726","54.3%","4763","54.1%","0.2pp"
"Rooftop Percher","","C","112166","6.90","14470","10.02","2647","18.6%","54.1%","420","","627","56.1%","1047","53.9%","1540","53.4%","0.5pp"
"Adept Watershaper","W","R","4244","2.09","1946","2.26","7771","99.9%","56.7%","1384","58.2%","1972","59.3%","3356","58.8%","4297","54.5%","4.4pp"
"Ajani, Outland Chaperone","W","M","1506","1.45","963","1.48","2891","99.5%","57.4%","502","64.5%","713","59.0%","1215","61.3%","1686","54.5%","6.8pp"
"Appeal to Eirdu","W","C","114916","7.60","13355","11.04","4451","16.9%","53.1%","661","48.7%","1112","52.6%","1773","51.2%","2680","54.3%","-3.2pp"
"Bark of Doran","W","U","43456","7.20","5011","10.65","861","11.9%","51.5%","156","","204","","360","","501","50.3%",""
"Brigid, Clachan's Heart","W","R","4099","2.18","1851","2.32","2700","87.0%","57.2%","479","","678","58.4%","1157","60.5%","1543","54.4%","6.1pp"
"Burdened Stoneback","W","U","26425","4.27","4922","5.40","6545","72.7%","53.1%","1186","52.1%","1567","52.1%","2753","52.1%","3800","53.8%","-1.7pp"
"Champion of the Clachan","W","R","5964","2.78","1842","3.17","718","37.1%","51.4%","114","","205","","319","","401","",""
"Clachan Festival","W","U","23081","3.85","5669","4.65","6049","73.4%","55.2%","1062","55.2%","1460","57.6%","2522","56.6%","3505","54.2%","2.4pp"
"Crib Swap","W","U","32226","5.23","3330","8.01","3002","48.5%","51.7%","517","49.5%","716","52.7%","1233","51.3%","1719","51.8%","-0.4pp"
"Curious Colossus","W","M","1954","1.79","1100","1.80","2790","96.1%","59.3%","465","","743","68.4%","1208","65.5%","1589","54.6%","10.9pp"
"Eirdu, Carrier of Dawn","W","M","1621","1.44","1034","1.47","2587","99.7%","55.5%","446","","643","61.0%","1089","61.5%","1511","51.2%","10.3pp"
"Encumbered Reejerey","W","U","21386","3.56","6000","4.17","22212","99.5%","56.5%","4096","60.8%","5374","55.6%","9470","57.8%","12378","55.2%","2.7pp"
"Evershrike's Gift","W","U","35634","5.66","5043","7.89","4104","43.9%","52.1%","680","49.4%","977","54.1%","1657","52.2%","2451","52.1%","0.1pp"
"Flock Impostor","W","U","23861","3.81","5705","4.65","13503","93.6%","55.4%","2377","54.9%","3320","55.8%","5697","55.4%","7550","54.8%","0.6pp"
"Gallant Fowlknight","W","C","101589","6.52","13608","9.19","2925","18.2%","54.4%","477","","684","56.3%","1161","54.8%","1756","54.2%","0.6pp"
"Goldmeadow Nomad","W","C","101788","6.42","13497","9.09","6466","33.2%","54.4%","1168","55.3%","1533","52.8%","2701","53.9%","3743","54.7%","-0.9pp"
"Keep Out","W","C","86689","5.19","11786","7.46","19229","70.5%","54.3%","3327","52.7%","4670","54.6%","7997","53.8%","11237","54.6%","-0.8pp"
