"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","232675","4.59","45959","6.32","210569","72.3%","53.1%","38930","51.8%","51489","54.9%","90419","53.5%","116881","52.5%","1.0pp"
"Rooftop Percher","","C","295914","6.23","47881","8.71","161942","52.8%","54.4%","26923","52.0%","40904","57.0%","67827","55.0%","90651","53.5%","1.6pp"
"Adept Watershaper","W","R","11807","2.14","5257","2.31","39919","88.1%","55.5%","7027","58.0%","9999","57.7%","17026","57.8%","22540","53.5%","4.3pp"
"Ajani, Outland Chaperone","W","M","4327","1.49","2693","1.54","22905","86.8%","55.9%","4170","62.7%","5756","59.5%","9926","60.8%","13081","52.1%","8.7pp"
"Appeal to Eirdu","W","C","320101","7.75","36149","11.28","23120","10.0%","51.8%","3664","46.8%","5409","52.0%","9073","49.9%","14055","53.0%","-3.0pp"
"Bark of Doran","W","U","120724","7.19","14775","10.46","12241","13.1%","50.2%","2064","47.1%","3069","50.7%","5133","49.3%","7121","50.9%","-1.7pp"
"Brigid, Clachan's Heart","W","R","11871","2.20","5250","2.34","39561","84.0%","56.0%","7141","61.6%","9411","60.2%","16552","60.8%","22227","52.2%","8.6pp"
"Burdened Stoneback","W","U","80103","4.55","13268","5.98","54879","64.8%","53.0%","9923","52.4%","13092","53.3%","23015","52.9%","31923","53.1%","-0.1pp"
"Champion of the Clachan","W","R","16961","2.84","4960","3.25","30372","73.7%","54.6%","5079","55.1%","7198","55.8%","12277","55.5%","17397","53.3%","2.2pp"
"Clachan Festival","W","U","64133","3.84","15515","4.65","80661","78.6%","55.4%","14214","55.5%","18702","57.2%","32916","56.5%","46523","54.2%","2.3pp"
"Crib Swap","W","U","93393","5.43","9370","8.40","21198","35.8%","50.9%","3498","48.7%","5105","51.4%","8603","50.3%","12227","51.0%","-0.6pp"
"Curious Colossus","W","M","5377","1.78","3105","1.82","24506","86.1%","56.4%","4147","57.8%","6361","66.2%","10508","62.9%","13974","51.6%","11.3pp"
"Eirdu, Carrier of Dawn","W","M","4321","1.48","2803","1.50","23419","88.5%","55.7%","3932","57.6%","6168","63.1%","10100","61.0%","13300","51.5%","9.5pp"
"Encumbered Reejerey","W","U","60804","3.59","16804","4.24","95122","85.1%","55.4%","17477","58.8%","22671","54.5%","40148","56.4%","53877","54.6%","1.8pp"
"Evershrike's Gift","W","U","102303","5.79","13801","8.23","37570","42.7%","53.4%","6193","50.1%","8903","55.1%","15096","53.0%","22497","53.7%","-0.6pp"
"Flock Impostor","W","U","69197","3.89","15466","4.87","82854","82.7%","54.9%","14461","53.4%","19746","56.5%","34207","55.2%","47134","54.2%","1.0pp"
"Gallant Fowlknight","W","C","281680","6.45","37250","9.17","117444","49.2%","54.7%","19541","52.7%","26846","55.2%","46387","54.1%","69089","54.7%","-0.6pp"
"Goldmeadow Nomad","W","C","290580","6.65","35583","9.59","87907","38.6%","53.5%","15606","53.4%","19160","51.5%","34766","52.4%","52371","54.2%","-1.8pp"
"Keep Out","W","C","248749","5.31","32468","7.73","123240","59.9%","52.9%","21064","51.1%","29732","53.6%","50796","52.5%","72475","53.1%","-0.6pp"
"Kinbinding","W","R","9383","1.79","5968","1.83","49688","90.2%","57.2%","8535","62.7%","12834","65.2%","21369","64.2%","28526","52.0%","12.2pp"
"Kinsbaile Aspirant","W","U","74924","4.41","16373","5.29","78061","71.3%","56.3%","14230","61.9%","17225","54.9%","31455","58.1%","45623","54.9%","3.2pp"
"Kinscaer Sentry","W","R","12816","2.23","5271","2.42","38329","85.4%","55.9%","7016","61.3%","8966","57.3%","15982","59.0%","22039","53.4%","5.7pp"
"Kithkeeper","W","U","94704","5.27","16835","7.07","53750","50.2%","51.8%","8636","48.7%","14360","56.7%","22996","53.7%","30237","50.0%","3.7pp"
"Liminal Hold","W","C","172508","3.74","43352","4.69","245029","87.3%","54.7%","40541","52.9%","61810","57.7%","102351","55.8%","143120","53.9%","1.9pp"
"Meanders Guide","W","U","77720","4.56","14409","5.90","65065","69.8%","54.5%","11390","53.2%","16000","54.8%","27390","54.1%","36612","54.4%","-0.3pp"
"Moonlit Lamenter","W","U","66639","3.93","15093","4.83","70397","71.5%","53.6%","12444","53.8%","17553","56.2%","29997","55.2%","40562","52.3%","2.9pp"
"Morningtide's Light","W","M","12958","3.38","2955","4.01","12600","62.3%","53.2%","1990","48.9%","3158","57.2%","5148","54.0%","7467","52.7%","1.3pp"
"Personify","W","U","90062","5.00","14964","6.77","57678","59.8%","54.4%","9432","52.5%","14077","56.6%","23509","55.0%","34194","54.0%","1.0pp"
"Protective Response","W","U","55552","3.30","16691","3.85","98319","89.1%","55.6%","16684","54.8%","24038","58.8%","40722","57.2%","57624","54.4%","2.8pp"
